Date,Open,High,Low,Close,Adj Close,Volume
2024-03-21,18130.080078,18272.720703,18130.080078,18214.119141,18214.119141,4207730000
2024-03-22,18214.119141,18234.250000,18110.759766,18112.039063,18112.039063,3374700000
2024-03-25,18112.039063,18153.250000,18073.669922,18077.150391,18077.150391,3331360000
2024-03-26,18077.150391,18122.919922,18059.189453,18059.189453,18059.189453,3871790000
2024-03-27,18059.189453,18256.580078,18059.189453,18255.240234,18255.240234,3850500000
2024-03-28,18255.240234,18342.240234,18255.240234,18312.669922,18312.669922,3998270000
2024-04-01,18312.669922,18315.150391,18187.539063,18216.189453,18216.189453,3325930000
2024-04-02,18216.189453,18216.189453,18056.070313,18107.529297,18107.529297,3886590000
2024-04-03,18107.529297,18183.160156,18098.169922,18146.640625,18146.640625,3703250000
2024-04-04,18146.640625,18291.669922,17956.750000,17982.490234,17982.490234,4075680000
2024-04-05,17982.490234,18162.449219,17979.960938,18122.259766,18122.259766,3386780000
2024-04-08,18122.259766,18194.509766,18122.259766,18154.369141,18154.369141,3278180000
2024-04-09,18154.369141,18233.230469,18032.519531,18171.199219,18171.199219,3400680000
2024-04-10,18171.199219,18171.199219,17878.380859,17947.300781,17947.300781,3845930000
2024-04-11,17947.300781,17979.580078,17800.970703,17915.199219,17915.199219,3509380000
2024-04-12,17915.199219,17915.199219,17593.550781,17639.039063,17639.039063,3963220000
2024-04-15,17639.039063,17827.320313,17462.519531,17506.929688,17506.929688,3950210000
2024-04-16,17506.929688,17506.929688,17361.859375,17413.980469,17413.980469,4006200000
2024-04-17,17413.980469,17523.519531,17336.800781,17403.439453,17403.439453,3596130000
2024-04-18,17403.439453,17517.460938,17343.279297,17388.089844,17388.089844,3619760000
2024-04-19,17388.089844,17496.750000,17388.089844,17458.769531,17458.769531,3878750000
2024-04-22,17458.769531,17691.140625,17452.439453,17602.189453,17602.189453,3820250000
2024-04-23,17602.189453,17810.359375,17602.189453,17792.759766,17792.759766,3751400000
2024-04-24,17792.759766,17792.759766,17666.130859,17758.080078,17758.080078,3656740000
2024-04-25,17758.080078,17764.310547,17544.119141,17731.560547,17731.560547,3958050000
2024-04-26,17731.560547,17803.460938,17722.519531,17763.269531,17763.269531,3604140000
2024-04-29,17763.269531,17843.460938,17759.839844,17831.070313,17831.070313,3447450000
2024-04-30,17831.070313,17831.070313,17601.759766,17603.339844,17603.339844,4082470000
2024-05-01,17603.339844,17778.220703,17539.789063,17576.390625,17576.390625,4544170000
2024-05-02,17576.390625,17739.730469,17558.279297,17699.050781,17699.050781,4381660000
2024-05-03,17699.050781,17843.970703,17699.050781,17797.890625,17797.890625,3924990000
2024-05-06,17797.890625,17963.970703,17797.890625,17963.839844,17963.839844,3683250000
2024-05-07,17963.839844,18026.500000,17963.839844,17994.269531,17994.269531,3987890000
2024-05-08,17994.269531,18008.810547,17922.880859,17996.029297,17996.029297,3842100000
2024-05-09,17996.029297,18130.660156,17986.349609,18127.210938,18127.210938,3727370000
2024-05-10,18127.210938,18213.640625,18127.210938,18162.050781,18162.050781,3617900000
2024-05-13,18162.050781,18242.929688,18128.740234,18133.949219,18133.949219,4255710000
2024-05-14,18133.949219,18226.800781,18133.949219,18220.810547,18220.810547,4763580000
2024-05-15,18220.810547,18389.509766,18220.810547,18378.490234,18378.490234,4360810000
2024-05-16,18378.490234,18389.779297,18317.380859,18317.380859,18317.380859,3817470000
2024-05-17,18317.380859,18389.460938,18317.039063,18388.259766,18388.259766,3578120000
2024-05-20,18388.259766,18421.919922,18329.480469,18335.619141,18335.619141,3420100000
2024-05-21,18335.619141,18352.089844,18300.150391,18337.910156,18337.910156,3662240000
2024-05-22,18337.910156,18337.910156,18192.800781,18236.640625,18236.640625,3847130000
2024-05-23,18236.640625,18270.769531,18005.060547,18028.470703,18028.470703,3869520000
2024-05-24,18028.470703,18147.529297,18028.470703,18110.599609,18110.599609,3005510000
2024-05-28,18110.599609,18116.099609,17950.539063,18007.009766,18007.009766,3751540000
2024-05-29,18007.009766,18007.009766,17791.609375,17794.890625,17794.890625,3552750000
2024-05-30,17794.890625,17876.199219,17780.089844,17852.359375,17852.359375,3818750000
2024-05-31,17852.359375,18087.869141,17846.009766,18083.689453,18083.689453,5437160000
2024-06-03,18083.689453,18105.929688,17862.580078,18006.960938,18006.960938,4046920000
2024-06-04,18006.960938,18006.960938,17843.400391,17934.490234,17934.490234,3707900000
2024-06-05,17934.490234,18045.939453,17906.730469,18045.500000,18045.500000,3591460000
2024-06-06,18045.500000,18102.919922,18015.609375,18066.570313,18066.570313,3609990000
2024-06-07,18066.570313,18099.609375,17961.609375,17985.630859,17985.630859,3692760000
2024-06-10,17985.630859,18055.060547,17919.929688,18037.529297,18037.529297,3622280000
2024-06-11,18037.529297,18037.529297,17827.380859,17919.109375,17919.109375,3568030000
2024-06-12,17919.109375,18144.669922,17919.109375,18005.949219,18005.949219,3962840000
2024-06-13,18005.949219,18005.949219,17832.419922,17923.410156,17923.410156,3530380000
