Country Name	Country Code	Series Name	Series Code	2021 [YR2021]
Greece	GRC	Account used to receive wages (% age 15+)	GFDD.AI.11	38.41266
Greece	GRC	Credit card (% age 15+)	GFDD.AI.20	23.16905
Greece	GRC	Debit card (% age 15+)	GFDD.AI.21	82.97717
Greece	GRC	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	88.13676
Greece	GRC	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	32.68769
Hungary	HUN	Account at a formal financial institution (% age 15+)	GFDD.AI.05	88.21879
Hungary	HUN	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	31.90648
Hungary	HUN	Account used to receive wages (% age 15+)	GFDD.AI.11	50.2776
Hungary	HUN	Credit card (% age 15+)	GFDD.AI.20	15.92117
Hungary	HUN	Debit card (% age 15+)	GFDD.AI.21	79.01882
Hungary	HUN	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	81.36986
Hungary	HUN	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	23.87249
Iceland	ISL	Account at a formal financial institution (% age 15+)	GFDD.AI.05	100
Iceland	ISL	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	75.84163
Iceland	ISL	Account used to receive wages (% age 15+)	GFDD.AI.11	75.16739
Iceland	ISL	Credit card (% age 15+)	GFDD.AI.20	73.99915
Iceland	ISL	Debit card (% age 15+)	GFDD.AI.21	94.13752
Iceland	ISL	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	99.7794
Iceland	ISL	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	25.54201
Italy	ITA	Account at a formal financial institution (% age 15+)	GFDD.AI.05	97.29456
Italy	ITA	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	48.86517
Italy	ITA	Account used to receive wages (% age 15+)	GFDD.AI.11	32.19199
Italy	ITA	Credit card (% age 15+)	GFDD.AI.20	57.88174
Italy	ITA	Debit card (% age 15+)	GFDD.AI.21	82.25523
Italy	ITA	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	92.99349
Italy	ITA	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	11.78794
Ireland	IRL	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.6634
Ireland	IRL	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	63.45975
Ireland	IRL	Account used to receive wages (% age 15+)	GFDD.AI.11	44.27147
Ireland	IRL	Credit card (% age 15+)	GFDD.AI.20	54.95542
Ireland	IRL	Debit card (% age 15+)	GFDD.AI.21	93.47879
Ireland	IRL	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	98.04129
Ireland	IRL	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	20.95941
Kosovo	XKX	Account at a formal financial institution (% age 15+)	GFDD.AI.05	58.01196
Kosovo	XKX	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	10.33203
