Date;Open NYA;High NYA;Low NYA;Close NYA;Adj Close NYA; Volume NYA;Open IXIC;High IXIC;Low IXIC;Close IXIC;Adj Close IXIC;Volume IXIC;Open RUT;High RUT;Low RUT;Close RUT;Adj Close RUT;Volume RUT
Dec 14, 2022;15,562.54;15,667.78;15,407.59;15,494.98;15,494.98;4,472,340,000;11,248.09;11,352.09;11,065.24;11,170.89;11,170.89;5,485,150,000;1,831.23;1,845.77;1,812.30;1,820.45;1,820.45;4,472,340,000
Dec 13, 2022;15,468.67;15,819.15;15,468.67;15,562.54;15,562.54;5,079,360,000;11,542.84;11,571.64;11,160.54;11,256.81;11,256.81;6,126,890,000;1,851.83;1,880.76;1,823.00;1,832.36;1,832.36;5,079,360,000
Dec 12, 2022;15,291.05;15,468.98;15,280.93;15,468.67;15,468.67;3,904,130,000;11,015.48;11,144.67;10,984.82;11,143.74;11,143.74;4,829,990,000;1,798.79;1,820.50;1,793.11;1,818.61;1,818.61;3,904,130,000
Dec 9, 2022;15,399.94;15,439.22;15,287.76;15,291.05;15,291.05;3,888,260,000;11,038.17;11,138.70;10,999.26;11,004.62;11,004.62;4,337,440,000;1,812.15;1,815.81;1,796.66;1,796.66;1,796.66;3,888,260,000
Dec 8, 2022;15,311.79;15,452.76;15,311.79;15,399.94;15,399.94;4,006,900,000;11,011.33;11,119.16;10,939.47;11,082.00;11,082.00;4,281,800,000;1,815.71;1,833.75;1,808.85;1,818.29;1,818.29;4,006,900,000
Dec 7, 2022;15,328.44;15,401.62;15,285.06;15,311.79;15,311.79;4,118,050,000;10,963.95;11,039.81;10,910.62;10,958.55;10,958.55;4,343,860,000;1,809.17;1,822.70;1,805.66;1,806.90;1,806.90;4,118,050,000
Dec 6, 2022;15,474.79;15,499.00;15,240.86;15,328.46;15,328.46;4,368,380,000;11,228.42;11,241.42;10,956.20;11,014.89;11,014.89;4,713,330,000;1,839.54;1,839.54;1,802.95;1,812.58;1,812.58;4,368,380,000
Dec 5, 2022;15,767.02;15,767.02;15,431.90;15,474.79;15,474.79;4,280,820,000;11,380.99;11,425.51;11,193.02;11,239.94;11,239.94;4,510,030,000;1,886.01;1,886.01;1,834.42;1,840.22;1,840.22;4,280,820,000
Dec 2, 2022;15,761.12;15,797.68;15,617.85;15,767.02;15,767.02;4,012,620,000;11,308.38;11,492.32;11,296.72;11,461.50;11,461.50;4,523,010,000;1,863.94;1,898.45;1,856.48;1,892.84;1,892.84;4,012,620,000
Dec 1, 2022;15,780.02;15,854.14;15,691.30;15,761.12;15,761.12;4,527,130,000;11,475.17;11,546.77;11,378.75;11,482.45;11,482.45;5,158,120,000;1,891.98;1,898.27;1,876.93;1,881.68;1,881.68;4,527,130,000
Nov 30, 2022;15,433.46;15,780.02;15,361.79;15,780.02;15,780.02;6,579,360,000;10,995.20;11,468.47;10,966.53;11,468.00;11,468.00;6,653,460,000;1,839.13;1,886.58;1,821.47;1,886.58;1,886.58;6,579,360,000
Nov 29, 2022;15,370.44;15,479.97;15,370.44;15,433.46;15,433.46;3,546,040,000;11,060.02;11,086.02;10,944.37;10,983.78;10,983.78;4,592,830,000;1,832.52;1,846.07;1,832.52;1,836.55;1,836.55;3,546,040,000
